markup,mpc,spread,error
1.05,0.75,0.015,143434644940.3481
1.05,0.75,0.0175,143434644940.3481
1.05,0.75,0.02,143434644940.3481
1.05,0.75,0.0225,143434644940.3481
1.05,0.75,0.025,143434644940.3481
1.05,0.775,0.015,143279215349.11646
1.05,0.775,0.0175,143279215349.11646
1.05,0.775,0.02,143279215349.11646
1.05,0.775,0.0225,143279215349.11646
1.05,0.775,0.025,143279215349.11646
1.05,0.8,0.015,143126430309.26376
1.05,0.8,0.0175,143126430309.26376
1.05,0.8,0.02,143126430309.26376
1.05,0.8,0.0225,143126430309.26376
1.05,0.8,0.025,143126430309.26376
1.05,0.8250000000000001,0.015,142976248270.57086
1.05,0.8250000000000001,0.0175,142976248270.57086
1.05,0.8250000000000001,0.02,142976248270.57086
1.05,0.8250000000000001,0.0225,142976248270.57086
1.05,0.8250000000000001,0.025,142976248270.57086
1.05,0.8500000000000001,0.015,142828628379.77386
1.05,0.8500000000000001,0.0175,142828628379.77386
1.05,0.8500000000000001,0.02,142828628379.77386
1.05,0.8500000000000001,0.0225,142828628379.77386
1.05,0.8500000000000001,0.025,142828628379.77386
1.0750000000000002,0.75,0.015,143434644940.3481
1.0750000000000002,0.75,0.0175,143434644940.3481
1.0750000000000002,0.75,0.02,143434644940.3481
1.0750000000000002,0.75,0.0225,143434644940.3481
1.0750000000000002,0.75,0.025,143434644940.3481
1.0750000000000002,0.775,0.015,143279215349.11646
1.0750000000000002,0.775,0.0175,143279215349.11646
1.0750000000000002,0.775,0.02,143279215349.11646
1.0750000000000002,0.775,0.0225,143279215349.11646
1.0750000000000002,0.775,0.025,143279215349.11646
1.0750000000000002,0.8,0.015,143126430309.26376
1.0750000000000002,0.8,0.0175,143126430309.26376
1.0750000000000002,0.8,0.02,143126430309.26376
1.0750000000000002,0.8,0.0225,143126430309.26376
1.0750000000000002,0.8,0.025,143126430309.26376
1.0750000000000002,0.8250000000000001,0.015,142976248270.57086
1.0750000000000002,0.8250000000000001,0.0175,142976248270.57086
1.0750000000000002,0.8250000000000001,0.02,142976248270.57086
1.0750000000000002,0.8250000000000001,0.0225,142976248270.57086
1.0750000000000002,0.8250000000000001,0.025,142976248270.57086
1.0750000000000002,0.8500000000000001,0.015,142828628379.77386
1.0750000000000002,0.8500000000000001,0.0175,142828628379.77386
1.0750000000000002,0.8500000000000001,0.02,142828628379.77386
1.0750000000000002,0.8500000000000001,0.0225,142828628379.77386
1.0750000000000002,0.8500000000000001,0.025,142828628379.77386
1.1,0.75,0.015,143434644940.3481
1.1,0.75,0.0175,143434644940.3481
1.1,0.75,0.02,143434644940.3481
1.1,0.75,0.0225,143434644940.3481
1.1,0.75,0.025,143434644940.3481
1.1,0.775,0.015,143279215349.11646
1.1,0.775,0.0175,143279215349.11646
1.1,0.775,0.02,143279215349.11646
1.1,0.775,0.0225,143279215349.11646
1.1,0.775,0.025,143279215349.11646
1.1,0.8,0.015,143126430309.26376
1.1,0.8,0.0175,143126430309.26376
1.1,0.8,0.02,143126430309.26376
1.1,0.8,0.0225,143126430309.26376
1.1,0.8,0.025,143126430309.26376
1.1,0.8250000000000001,0.015,142976248270.57086
1.1,0.8250000000000001,0.0175,142976248270.57086
1.1,0.8250000000000001,0.02,142976248270.57086
1.1,0.8250000000000001,0.0225,142976248270.57086
1.1,0.8250000000000001,0.025,142976248270.57086
1.1,0.8500000000000001,0.015,142828628379.77386
1.1,0.8500000000000001,0.0175,142828628379.77386
1.1,0.8500000000000001,0.02,142828628379.77386
1.1,0.8500000000000001,0.0225,142828628379.77386
1.1,0.8500000000000001,0.025,142828628379.77386
1.125,0.75,0.015,143434644940.3481
1.125,0.75,0.0175,143434644940.3481
1.125,0.75,0.02,143434644940.3481
1.125,0.75,0.0225,143434644940.3481
1.125,0.75,0.025,143434644940.3481
1.125,0.775,0.015,143279215349.11646
1.125,0.775,0.0175,143279215349.11646
1.125,0.775,0.02,143279215349.11646
1.125,0.775,0.0225,143279215349.11646
1.125,0.775,0.025,143279215349.11646
1.125,0.8,0.015,143126430309.26376
1.125,0.8,0.0175,143126430309.26376
1.125,0.8,0.02,143126430309.26376
1.125,0.8,0.0225,143126430309.26376
1.125,0.8,0.025,143126430309.26376
1.125,0.8250000000000001,0.015,142976248270.57086
1.125,0.8250000000000001,0.0175,142976248270.57086
1.125,0.8250000000000001,0.02,142976248270.57086
1.125,0.8250000000000001,0.0225,142976248270.57086
1.125,0.8250000000000001,0.025,142976248270.57086
1.125,0.8500000000000001,0.015,142828628379.77386
1.125,0.8500000000000001,0.0175,142828628379.77386
1.125,0.8500000000000001,0.02,142828628379.77386
1.125,0.8500000000000001,0.0225,142828628379.77386
1.125,0.8500000000000001,0.025,142828628379.77386
1.1500000000000001,0.75,0.015,143434644940.3481
1.1500000000000001,0.75,0.0175,143434644940.3481
1.1500000000000001,0.75,0.02,143434644940.3481
1.1500000000000001,0.75,0.0225,143434644940.3481
1.1500000000000001,0.75,0.025,143434644940.3481
1.1500000000000001,0.775,0.015,143279215349.11646
1.1500000000000001,0.775,0.0175,143279215349.11646
1.1500000000000001,0.775,0.02,143279215349.11646
1.1500000000000001,0.775,0.0225,143279215349.11646
1.1500000000000001,0.775,0.025,143279215349.11646
1.1500000000000001,0.8,0.015,143126430309.26376
1.1500000000000001,0.8,0.0175,143126430309.26376
1.1500000000000001,0.8,0.02,143126430309.26376
1.1500000000000001,0.8,0.0225,143126430309.26376
1.1500000000000001,0.8,0.025,143126430309.26376
1.1500000000000001,0.8250000000000001,0.015,142976248270.57086
1.1500000000000001,0.8250000000000001,0.0175,142976248270.57086
1.1500000000000001,0.8250000000000001,0.02,142976248270.57086
1.1500000000000001,0.8250000000000001,0.0225,142976248270.57086
1.1500000000000001,0.8250000000000001,0.025,142976248270.57086
1.1500000000000001,0.8500000000000001,0.015,142828628379.77386
1.1500000000000001,0.8500000000000001,0.0175,142828628379.77386
1.1500000000000001,0.8500000000000001,0.02,142828628379.77386
1.1500000000000001,0.8500000000000001,0.0225,142828628379.77386
1.1500000000000001,0.8500000000000001,0.025,142828628379.77386
